key,area_m2,U_W_m2K,G_W_K,alpha_i,alpha_o,source
床下->外部||W_外壁,2.79,2.921646746347942,8.151394422310759,4.4,25.0,layers+film
床下->外部||E_外壁,3.71,2.921646746347942,10.839309428950864,4.4,25.0,layers+film
床下->外部||S_外壁,5.34,2.921646746347942,15.60159362549801,4.4,25.0,layers+film
床下->外部||N_外壁,4.64,2.921646746347942,13.556440903054451,4.4,25.0,layers+film
和室->外部||W_外壁_一般部,7.2542,0.4268471656692894,3.0964347091981588,4.4,25.0,layers+film
和室->外部||W_外壁_熱橋部,1.4858000000000002,0.7157615824617205,1.0634785592216245,4.4,25.0,layers+film
和室->外部||S_外壁_一般部,5.2539,0.4268471656692894,2.242612323709879,4.4,25.0,layers+film
和室->外部||S_外壁_熱橋部,1.0761,0.7157615824617205,0.7702310388870575,4.4,25.0,layers+film
和室->外部||N_外壁_一般部,1.8094000000000001,0.4268471656692894,0.7723372615620122,4.4,25.0,layers+film
和室->外部||N_外壁_熱橋部,0.37060000000000004,0.7157615824617205,0.26526124246031363,4.4,25.0,layers+film
LD->外部||E_外壁_一般部,5.4738500000000005,0.4268471656692894,2.33649735779884,4.4,25.0,layers+film
LD->外部||E_外壁_熱橋部,1.12115,0.7157615824617205,0.802476098176958,4.4,25.0,layers+film
LD->外部||S_外壁_一般部,6.0341,0.4268471656692894,2.5756384823650587,4.4,25.0,layers+film
LD->外部||S_外壁_熱橋部,1.2359,0.7157615824617205,0.8846097397644404,4.4,25.0,layers+film
LD->和室||間仕切壁,5.68,1.8966229456708024,10.772818331410157,4.4,9.100000000000001,layers+film
LD->和室||建具,3.06,2.33,7.1298,4.4,9.100000000000001,u_value
台所->外部||E_外壁_一般部,6.2084,0.4268471656692894,2.650037943341216,4.4,25.0,layers+film
台所->外部||E_外壁_熱橋部,1.2716,0.7157615824617205,0.9101624282583238,4.4,25.0,layers+film
台所->外部||N_外壁_一般部,2.905,0.4268471656692894,1.2399910162692855,4.4,25.0,layers+film
台所->外部||N_外壁_熱橋部,0.5950000000000001,0.7157615824617205,0.42587814156472376,4.4,25.0,layers+film
台所->外部||N_台所ドア,1.62,4.65,7.533000000000001,4.4,25.0,u_value
台所->LD||間仕切壁,3.46,1.8966229456708024,6.5623153920209765,4.4,9.100000000000001,layers+film
浴室->外部||W_外壁_一般部,2.9465,0.4268471656692894,1.257705173644561,4.4,25.0,layers+film
浴室->外部||W_外壁_熱橋部,0.6035,0.7157615824617205,0.43196211501564835,4.4,25.0,layers+film
浴室->外部||N_外壁_一般部,3.3947,0.4268471656692894,1.4490180732975366,4.4,25.0,layers+film
浴室->外部||N_外壁_熱橋部,0.6953,0.7157615824617205,0.4976690282856343,4.4,25.0,layers+film
1階トイレ->外部||N_外壁_一般部,1.2532999999999999,0.4268471656692894,0.5349675527333203,4.4,25.0,layers+film
1階トイレ->外部||N_外壁_熱橋部,0.2567,0.7157615824617205,0.18373599821792364,4.4,25.0,layers+film
1階トイレ->台所||間仕切壁,4.09,1.8966229456708024,7.757187847793581,4.4,9.100000000000001,layers+film
洗面所->外部||N_外壁_一般部,2.9465,0.4268471656692894,1.257705173644561,4.4,25.0,layers+film
洗面所->外部||N_外壁_熱橋部,0.6035,0.7157615824617205,0.43196211501564835,4.4,25.0,layers+film
洗面所->浴室||間仕切壁,2.668,1.8966229456708024,5.060190019049701,4.4,9.100000000000001,layers+film
洗面所->浴室||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
洗面所->1階トイレ||間仕切壁,4.09,1.8966229456708024,7.757187847793581,4.4,9.100000000000001,layers+film
ホール->外部||W_外壁_一般部,2.8303,0.4268471656692894,1.2081055329937895,4.4,25.0,layers+film
ホール->外部||W_外壁_熱橋部,0.5797000000000001,0.7157615824617205,0.41492698935305944,4.4,25.0,layers+film
ホール->外部||W_玄関ドア,1.89,4.65,8.7885,4.4,25.0,u_value
ホール->外部||N_外壁_一般部,5.5693,0.4268471656692894,2.3772399197619736,4.4,25.0,layers+film
ホール->外部||N_外壁_熱橋部,1.1407,0.7157615824617205,0.8164692371140846,4.4,25.0,layers+film
ホール->和室||間仕切壁,7.3180000000000005,1.8966229456708024,13.879486716418933,4.4,9.100000000000001,layers+film
ホール->和室||建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
ホール->LD||間仕切壁,7.3180000000000005,1.8966229456708024,13.879486716418933,4.4,9.100000000000001,layers+film
ホール->LD||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
ホール->台所||間仕切壁,2.9480000000000004,1.8966229456708024,5.591244443837526,4.4,9.100000000000001,layers+film
ホール->台所||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
ホール->浴室||間仕切壁,4.09,1.8966229456708024,7.757187847793581,4.4,9.100000000000001,layers+film
ホール->1階トイレ||間仕切壁,0.6279999999999999,1.8966229456708024,1.1910792098812637,4.4,9.100000000000001,layers+film
ホール->1階トイレ||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
ホール->洗面所||間仕切壁,2.668,1.8966229456708024,5.060190019049701,4.4,9.100000000000001,layers+film
ホール->洗面所||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
ホール->床下||ホール-床下,1.63,0.662265682917358,1.0794930631552935,2.0,6.7,layers+film
クローゼット->外部||W_外壁_一般部,3.1789,0.4268471656692894,1.356904454946104,4.4,25.0,layers+film
クローゼット->外部||W_外壁_熱橋部,0.6511,0.7157615824617205,0.46603236634082623,4.4,25.0,layers+film
クローゼット->外部||N_外壁_一般部,5.4365,0.4268471656692894,2.3205546161610915,4.4,25.0,layers+film
クローゼット->外部||N_外壁_熱橋部,1.1135000000000002,0.7157615824617205,0.7970005220711259,4.4,25.0,layers+film
寝室->外部||S_外壁_一般部,5.815809999999999,0.4268471656692894,2.4824620145711096,4.4,25.0,layers+film
寝室->外部||S_外壁_熱橋部,1.19119,0.7157615824617205,0.8526080394125768,4.4,25.0,layers+film
寝室->外部||W_外壁_一般部,6.4325,0.4268471656692894,2.745694393167704,4.4,25.0,layers+film
寝室->外部||W_外壁_熱橋部,1.3175000000000001,0.7157615824617205,0.9430158848933169,4.4,25.0,layers+film
寝室->クローゼット||間仕切壁,5.128,1.8966229456708024,9.725882465399875,4.4,9.100000000000001,layers+film
寝室->クローゼット||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
子供室1->外部||S_外壁_一般部,3.2224749999999998,0.4268471656692894,1.3755043201901431,4.4,25.0,layers+film
子供室1->外部||S_外壁_熱橋部,0.660025,0.7157615824617205,0.47242053846429705,4.4,25.0,layers+film
子供室1->寝室||間仕切壁,8.74,1.8966229456708024,16.576484545162813,4.4,9.100000000000001,layers+film
子供室2->外部||E_外壁_一般部,6.7063999999999995,0.4268471656692894,2.862607831844522,4.4,25.0,layers+film
子供室2->外部||E_外壁_熱橋部,1.3736000000000002,0.7157615824617205,0.9831701096694194,4.4,25.0,layers+film
子供室2->外部||S_外壁_一般部,3.2224749999999998,0.4268471656692894,1.3755043201901431,4.4,25.0,layers+film
子供室2->外部||S_外壁_熱橋部,0.660025,0.7157615824617205,0.47242053846429705,4.4,25.0,layers+film
子供室2->子供室1||間仕切壁,8.74,1.8966229456708024,16.576484545162813,4.4,9.100000000000001,layers+film
2階ホール->外部||E_外壁_一般部,1.8094000000000001,0.4268471656692894,0.7723372615620122,4.4,25.0,layers+film
2階ホール->外部||E_外壁_熱橋部,0.37060000000000004,0.7157615824617205,0.26526124246031363,4.4,25.0,layers+film
2階ホール->外部||N_外壁_一般部,8.5822,0.4268471656692894,3.663287745206975,4.4,25.0,layers+film
2階ホール->外部||N_外壁_熱橋部,1.7578,0.7157615824617205,1.2581657096512122,4.4,25.0,layers+film
2階ホール->クローゼット||間仕切壁,4.37,1.8966229456708024,8.288242272581407,4.4,9.100000000000001,layers+film
2階ホール->寝室||間仕切壁,0.7580000000000002,1.8966229456708024,1.4376401928184686,4.4,9.100000000000001,layers+film
2階ホール->寝室||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
2階ホール->子供室1||間仕切壁,5.678,1.8966229456708024,10.769025085518816,4.4,9.100000000000001,layers+film
2階ホール->子供室1||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
2階ホール->子供室2||間仕切壁,5.678,1.8966229456708024,10.769025085518816,4.4,9.100000000000001,layers+film
2階ホール->子供室2||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
2階ホール->片流れ(3)||0_外壁_一般部,0.5726999999999999,0.4268471656692894,0.24445537177880197,4.4,25.0,layers+film
2階ホール->片流れ(3)||0_外壁_熱橋部,0.1173,0.7157615824617205,0.08395883362275981,4.4,25.0,layers+film
切妻->外部||E_外壁_一般部,4.1417,0.4268471656692894,1.7678729060524958,4.4,25.0,layers+film
切妻->外部||E_外壁_熱橋部,0.8483,0.7157615824617205,0.6071805504022776,4.4,25.0,layers+film
切妻->外部||N_外壁_一般部,2.3821,0.4268471656692894,1.0167926333408142,4.4,25.0,layers+film
切妻->外部||N_外壁_熱橋部,0.48790000000000006,0.7157615824617205,0.3492200760830735,4.4,25.0,layers+film
切妻->外部||S_外壁_一般部,2.3821,0.4268471656692894,1.0167926333408142,4.4,25.0,layers+film
切妻->外部||S_外壁_熱橋部,0.48790000000000006,0.7157615824617205,0.3492200760830735,4.4,25.0,layers+film
切妻->外部||W_外壁_一般部,4.1417,0.4268471656692894,1.7678729060524958,4.4,25.0,layers+film
切妻->外部||W_外壁_熱橋部,0.8483,0.7157615824617205,0.6071805504022776,4.4,25.0,layers+film
片流れ(3)->外部||E_外壁_一般部,0.7054999999999999,0.4268471656692894,0.3011406753796836,4.4,25.0,layers+film
片流れ(3)->外部||E_外壁_熱橋部,0.14450000000000002,0.7157615824617205,0.10342754866571863,4.4,25.0,layers+film
片流れ(3)->外部||W_外壁_一般部,0.7054999999999999,0.4268471656692894,0.3011406753796836,4.4,25.0,layers+film
片流れ(3)->外部||W_外壁_熱橋部,0.14450000000000002,0.7157615824617205,0.10342754866571863,4.4,25.0,layers+film
片流れ(3)->外部||N_外壁_一般部,0.8466,0.4268471656692894,0.3613688104556204,4.4,25.0,layers+film
片流れ(3)->外部||N_外壁_熱橋部,0.17340000000000003,0.7157615824617205,0.12411305839886236,4.4,25.0,layers+film
片流れ(3)->台所||0_外壁_一般部,0.2822,0.4268471656692894,0.12045627015187346,4.4,25.0,layers+film
片流れ(3)->台所||0_外壁_熱橋部,0.05780000000000001,0.7157615824617205,0.041371019466287455,4.4,25.0,layers+film
片流れ(3)->ホール||0_外壁_一般部,1.8840999999999999,0.4268471656692894,0.8042227448375081,4.4,25.0,layers+film
片流れ(3)->ホール||0_外壁_熱橋部,0.3859,0.7157615824617205,0.27621239467197795,4.4,25.0,layers+film
片流れ(4)->外部||0_外壁_一般部,1.3778,0.4268471656692894,0.5881100248591469,4.4,25.0,layers+film
片流れ(4)->外部||0_外壁_熱橋部,0.2822,0.7157615824617205,0.20198791857069753,4.4,25.0,layers+film
片流れ(4)->外部||S_外壁_一般部,0.17429999999999998,0.4268471656692894,0.07439946097615713,4.4,25.0,layers+film
片流れ(4)->外部||S_外壁_熱橋部,0.0357,0.7157615824617205,0.025552688493883424,4.4,25.0,layers+film
階間(L4)->外部||E_外壁_一般部,2.2659,0.4268471656692894,0.9671929926900427,4.4,25.0,layers+film
階間(L4)->外部||E_外壁_熱橋部,0.4641,0.7157615824617205,0.3321849504204845,4.4,25.0,layers+film
階間(L4)->外部||N_外壁_一般部,1.1371,0.4268471656692894,0.4853679120825489,4.4,25.0,layers+film
階間(L4)->外部||N_外壁_熱橋部,0.23290000000000002,0.7157615824617205,0.16670087255533472,4.4,25.0,layers+film
階間(L4)->外部||S_外壁_一般部,3.9674,0.4268471656692894,1.6934734450763387,4.4,25.0,layers+film
階間(L4)->外部||S_外壁_熱橋部,0.8126000000000001,0.7157615824617205,0.5816278619083941,4.4,25.0,layers+film
階間(L4)->外部||W_外壁_一般部,0.2075,0.4268471656692894,0.08857078687637754,4.4,25.0,layers+film
階間(L4)->外部||W_外壁_熱橋部,0.0425,0.7157615824617205,0.030419867254623124,4.4,25.0,layers+film
階間(L4)->2階ホール||間仕切壁,2.5100000000000002,1.8966229456708024,4.760523593633715,4.4,9.100000000000001,layers+film
階間(L4)->片流れ(3)||0_外壁_一般部,1.5106,0.4268471656692894,0.6447953284600285,4.4,25.0,layers+film
階間(L4)->片流れ(3)||0_外壁_熱橋部,0.3094,0.7157615824617205,0.22145663361365633,4.4,25.0,layers+film
階間(L4)->片流れ(4)||0_外壁_一般部,2.0584,0.4268471656692894,0.8786222058136651,4.4,25.0,layers+film
階間(L4)->片流れ(4)||0_外壁_熱橋部,0.42160000000000003,0.7157615824617205,0.30176508316586137,4.4,25.0,layers+film
2階トイレ->外部||E_外壁_一般部,1.8094000000000001,0.4268471656692894,0.7723372615620122,4.4,25.0,layers+film
2階トイレ->外部||E_外壁_熱橋部,0.37060000000000004,0.7157615824617205,0.26526124246031363,4.4,25.0,layers+film
2階トイレ->外部||N_外壁_一般部,2.9714,0.4268471656692894,1.2683336680697264,4.4,25.0,layers+film
2階トイレ->外部||N_外壁_熱橋部,0.6086,0.7157615824617205,0.43561249908620314,4.4,25.0,layers+film
2階トイレ->2階ホール||間仕切壁,5.128000000000001,1.8966229456708024,9.725882465399877,4.4,9.100000000000001,layers+film
2階トイレ->2階ホール||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
2階トイレ->片流れ(3)||0_外壁_一般部,0.2075,0.4268471656692894,0.08857078687637754,4.4,25.0,layers+film
2階トイレ->片流れ(3)||0_外壁_熱橋部,0.0425,0.7157615824617205,0.030419867254623124,4.4,25.0,layers+film
